email,status,date,items
user241@example.com,PAID,2023-12-18T14:00,PROD-576:3
user232@example.com,PAID,2023-05-31T21:00,PROD-115:1|PROD-866:1|PROD-944:3
user290@example.com,PAID,2024-05-17T14:00,PROD-115:3
user15@example.com,PAID,2023-12-15T17:00,PROD-22:1|PROD-391:1
user297@example.com,PAID,2023-10-13T19:00,PROD-41:3
user452@example.com,PAID,2023-12-12T18:00,PROD-503:1|PROD-200:1|PROD-138:2
user379@example.com,NEW,2024-08-13T19:00,PROD-806:1|PROD-527:1|PROD-154:3|PROD-367:1
user377@example.com,CANCELLED,2023-09-23T15:00,PROD-209:1
user256@example.com,PAID,2024-06-17T12:00,PROD-735:1|PROD-431:1|PROD-286:3|PROD-690:1
user269@example.com,PAID,2023-03-04T14:00,PROD-704:1
user124@example.com,PAID,2023-02-12T11:00,PROD-608:1
user475@example.com,PAID,2023-08-10T16:00,PROD-133:3
user405@example.com,PAID,2024-07-17T15:00,PROD-950:3
user500@example.com,PAID,2024-08-03T17:00,PROD-610:1|PROD-513:1
user187@example.com,PAID,2023-03-27T18:00,PROD-882:1|PROD-140:3
user278@example.com,PAID,2024-02-04T19:00,PROD-980:1|PROD-249:2|PROD-564:1|PROD-970:3
user116@example.com,PAID,2023-05-25T10:00,PROD-417:1
user499@example.com,PAID,2024-08-18T14:00,PROD-661:2|PROD-916:1
user331@example.com,PAID,2024-01-08T13:00,PROD-886:1|PROD-746:3
user376@example.com,PAID,2024-07-28T18:00,PROD-566:3
user124@example.com,NEW,2023-04-12T21:00,PROD-870:3|PROD-427:3
user423@example.com,PAID,2023-11-11T21:00,PROD-682:1|PROD-197:2|PROD-785:3|PROD-882:3
user382@example.com,PAID,2024-01-30T21:00,PROD-775:2|PROD-835:1|PROD-312:3
user475@example.com,CANCELLED,2023-06-22T18:00,PROD-119:2
user385@example.com,NEW,2023-12-24T16:00,PROD-83:1|PROD-377:2|PROD-744:1
user336@example.com,CANCELLED,2023-05-01T12:00,PROD-431:2|PROD-546:1
user450@example.com,PAID,2023-11-09T21:00,PROD-63:1|PROD-400:2
user499@example.com,PAID,2024-06-04T14:00,PROD-788:1
user241@example.com,PAID,2024-01-19T19:00,PROD-149:2|PROD-966:2|PROD-190:2
user299@example.com,PAID,2024-09-08T12:00,PROD-118:1|PROD-958:3|PROD-585:2|PROD-605:3
user488@example.com,PAID,2023-12-04T11:00,PROD-999:3|PROD-311:3|PROD-894:3|PROD-514:2
user191@example.com,PAID,2024-07-21T19:00,PROD-444:3
user328@example.com,CANCELLED,2023-04-30T11:00,PROD-516:3|PROD-334:2
user331@example.com,NEW,2024-05-10T10:00,PROD-197:1|PROD-53:3|PROD-530:2
user20@example.com,PAID,2024-06-19T16:00,PROD-421:1
user225@example.com,PAID,2023-07-18T17:00,PROD-639:3|PROD-510:3|PROD-362:3
user407@example.com,PAID,2023-01-19T16:00,PROD-248:3
user118@example.com,CANCELLED,2023-02-23T10:00,PROD-469:2|PROD-562:3
user190@example.com,PAID,2024-08-09T16:00,PROD-491:3|PROD-765:3
user186@example.com,NEW,2024-07-21T16:00,PROD-70:2|PROD-319:1|PROD-65:1
user295@example.com,PAID,2023-01-20T21:00,PROD-305:3|PROD-626:1|PROD-736:1
user384@example.com,NEW,2024-06-11T19:00,PROD-171:1|PROD-196:3|PROD-101:3|PROD-409:2
user354@example.com,PAID,2023-04-17T20:00,PROD-370:1|PROD-217:3|PROD-854:1|PROD-36:3
user363@example.com,PAID,2024-10-14T16:00,PROD-392:3|PROD-621:2|PROD-112:1
user184@example.com,PAID,2024-06-14T14:00,PROD-963:1|PROD-627:3|PROD-816:2
user430@example.com,CANCELLED,2024-03-20T11:00,PROD-488:3|PROD-597:1|PROD-988:3|PROD-629:1
user475@example.com,PAID,2023-01-21T15:00,PROD-866:2|PROD-88:2|PROD-821:1|PROD-77:3
user435@example.com,PAID,2024-01-09T16:00,PROD-449:2|PROD-619:3|PROD-696:1
user203@example.com,CANCELLED,2023-12-08T19:00,PROD-41:1|PROD-571:1|PROD-644:3
user307@example.com,NEW,2024-10-25T12:00,PROD-329:2|PROD-451:3|PROD-237:3|PROD-556:1
user433@example.com,PAID,2024-01-04T11:00,PROD-803:2|PROD-568:1|PROD-120:2|PROD-812:3
user485@example.com,CANCELLED,2023-02-21T13:00,PROD-772:1|PROD-503:1|PROD-844:1|PROD-230:3
user489@example.com,PAID,2024-04-30T16:00,PROD-590:2|PROD-60:2|PROD-460:1|PROD-922:2
user290@example.com,PAID,2024-04-08T21:00,PROD-576:1|PROD-486:3|PROD-342:2|PROD-722:1
user156@example.com,PAID,2023-03-23T18:00,PROD-854:2|PROD-924:1|PROD-339:2|PROD-154:3
user204@example.com,NEW,2023-05-20T20:00,PROD-387:1|PROD-894:3|PROD-797:2|PROD-87:3
user298@example.com,NEW,2024-12-11T16:00,PROD-420:1|PROD-424:2
user250@example.com,CANCELLED,2023-02-18T21:00,PROD-728:2|PROD-581:1|PROD-684:2|PROD-808:3
user319@example.com,PAID,2024-04-12T18:00,PROD-680:2|PROD-248:3|PROD-850:3|PROD-117:1
user360@example.com,PAID,2023-01-29T21:00,PROD-536:3|PROD-798:1
user431@example.com,NEW,2024-02-19T19:00,PROD-458:1|PROD-612:1
user322@example.com,CANCELLED,2024-03-03T17:00,PROD-379:1|PROD-187:1|PROD-397:3
user407@example.com,PAID,2024-11-19T17:00,PROD-284:3|PROD-280:3
user37@example.com,CANCELLED,2024-09-26T15:00,PROD-690:3|PROD-943:3
user284@example.com,PAID,2023-07-22T17:00,PROD-899:2|PROD-194:2|PROD-816:2|PROD-801:3
user26@example.com,NEW,2024-12-20T15:00,PROD-12:2
user420@example.com,PAID,2023-08-16T13:00,PROD-928:3|PROD-381:1|PROD-158:2
user36@example.com,PAID,2023-01-21T18:00,PROD-441:2
user405@example.com,CANCELLED,2023-08-27T18:00,PROD-693:1
user240@example.com,PAID,2024-01-11T13:00,PROD-416:3
user207@example.com,NEW,2023-12-23T15:00,PROD-931:2|PROD-489:1|PROD-643:1
user435@example.com,NEW,2023-06-07T13:00,PROD-503:3|PROD-780:2|PROD-865:3|PROD-441:1
user51@example.com,PAID,2023-09-03T18:00,PROD-87:2|PROD-854:2|PROD-368:1
user117@example.com,PAID,2024-01-26T16:00,PROD-493:1
user151@example.com,NEW,2023-11-10T18:00,PROD-844:2|PROD-607:1|PROD-99:2
user130@example.com,PAID,2023-07-22T20:00,PROD-597:3
user51@example.com,PAID,2023-05-20T14:00,PROD-634:2|PROD-285:2|PROD-525:3|PROD-361:3
user34@example.com,PAID,2024-02-13T13:00,PROD-643:3|PROD-654:2|PROD-712:3
user372@example.com,PAID,2024-09-25T18:00,PROD-515:1|PROD-781:3
user297@example.com,PAID,2024-08-01T13:00,PROD-774:3
user455@example.com,CANCELLED,2024-05-24T14:00,PROD-883:3
user144@example.com,PAID,2023-05-03T16:00,PROD-846:1|PROD-672:2|PROD-960:1
user183@example.com,CANCELLED,2023-03-29T11:00,PROD-667:1|PROD-914:3|PROD-92:3|PROD-764:2
user369@example.com,NEW,2023-03-25T17:00,PROD-771:3|PROD-37:3|PROD-644:3
user173@example.com,PAID,2023-09-01T16:00,PROD-574:3|PROD-169:1|PROD-65:1|PROD-92:1
user55@example.com,PAID,2024-08-07T17:00,PROD-457:1
user281@example.com,PAID,2023-08-21T15:00,PROD-243:3|PROD-765:2
user178@example.com,PAID,2023-11-03T10:00,PROD-412:1|PROD-297:2
user53@example.com,PAID,2023-06-20T11:00,PROD-206:3
user464@example.com,NEW,2024-12-07T12:00,PROD-199:2|PROD-231:1|PROD-735:2
user371@example.com,PAID,2023-11-14T14:00,PROD-98:3|PROD-620:2|PROD-190:1|PROD-382:1
user46@example.com,PAID,2024-11-30T10:00,PROD-971:1|PROD-676:1|PROD-828:2|PROD-699:3
user425@example.com,CANCELLED,2024-11-13T10:00,PROD-107:2|PROD-844:1|PROD-819:2|PROD-230:1
user485@example.com,NEW,2024-04-13T14:00,PROD-487:3|PROD-3:1|PROD-881:2
user15@example.com,PAID,2024-08-29T15:00,PROD-567:2|PROD-786:2
user70@example.com,CANCELLED,2024-12-21T14:00,PROD-627:2|PROD-763:2
user150@example.com,PAID,2023-10-11T10:00,PROD-15:3|PROD-11:1
user250@example.com,PAID,2023-04-22T21:00,PROD-322:1|PROD-269:2|PROD-448:3
user180@example.com,PAID,2023-12-30T11:00,PROD-441:2|PROD-158:2
user113@example.com,NEW,2024-05-24T21:00,PROD-213:1|PROD-440:3|PROD-845:1|PROD-969:2
user470@example.com,PAID,2023-05-11T20:00,PROD-611:1|PROD-582:1
user411@example.com,PAID,2023-04-20T14:00,PROD-830:3|PROD-451:1
user142@example.com,PAID,2024-03-05T16:00,PROD-45:3|PROD-484:2|PROD-681:3
user192@example.com,PAID,2024-05-01T14:00,PROD-813:1
user49@example.com,PAID,2024-11-09T16:00,PROD-320:1|PROD-488:1
user38@example.com,PAID,2024-07-06T10:00,PROD-321:3|PROD-498:2|PROD-206:2|PROD-539:3
user201@example.com,NEW,2024-02-22T20:00,PROD-948:2|PROD-868:2|PROD-112:2
user188@example.com,CANCELLED,2023-04-06T12:00,PROD-250:2|PROD-907:2|PROD-656:2|PROD-503:2
user91@example.com,PAID,2023-10-23T21:00,PROD-155:3|PROD-510:1|PROD-282:1|PROD-5:1
user489@example.com,PAID,2023-09-26T21:00,PROD-610:1|PROD-329:3|PROD-992:3|PROD-884:1
user47@example.com,PAID,2024-05-24T19:00,PROD-861:2|PROD-37:1|PROD-729:2|PROD-725:3
user208@example.com,PAID,2023-06-27T11:00,PROD-848:3
user204@example.com,PAID,2023-08-21T17:00,PROD-619:3|PROD-664:1
user424@example.com,PAID,2024-06-25T13:00,PROD-126:2|PROD-60:3|PROD-449:3
user315@example.com,PAID,2023-06-17T16:00,PROD-78:1|PROD-906:1|PROD-499:3
user395@example.com,PAID,2023-07-24T15:00,PROD-779:1|PROD-418:1|PROD-675:1|PROD-332:1
user440@example.com,CANCELLED,2023-09-03T21:00,PROD-440:3|PROD-309:3|PROD-778:1
user63@example.com,PAID,2024-10-09T17:00,PROD-891:3|PROD-190:1|PROD-63:2
user338@example.com,NEW,2024-03-01T10:00,PROD-773:1|PROD-401:1
user257@example.com,PAID,2024-05-15T21:00,PROD-290:2
user178@example.com,PAID,2024-08-09T11:00,PROD-97:2|PROD-325:2|PROD-402:3|PROD-250:1
user426@example.com,PAID,2023-03-08T14:00,PROD-271:3
user176@example.com,PAID,2023-08-10T21:00,PROD-312:2
user282@example.com,PAID,2023-02-01T14:00,PROD-751:2|PROD-324:3
user383@example.com,PAID,2024-08-06T11:00,PROD-990:3
user391@example.com,PAID,2024-05-18T12:00,PROD-240:2|PROD-567:1
user397@example.com,PAID,2023-03-22T21:00,PROD-358:2|PROD-523:3|PROD-213:3|PROD-717:3
user280@example.com,PAID,2024-09-16T12:00,PROD-345:3
user204@example.com,PAID,2024-08-16T15:00,PROD-187:2
user58@example.com,NEW,2024-07-24T19:00,PROD-878:1
user426@example.com,PAID,2023-07-06T18:00,PROD-641:2|PROD-607:2|PROD-78:2
user467@example.com,CANCELLED,2024-09-18T11:00,PROD-44:1|PROD-796:2|PROD-827:3|PROD-559:3
user76@example.com,PAID,2024-08-11T14:00,PROD-857:1
user280@example.com,PAID,2024-01-19T20:00,PROD-649:3|PROD-297:1
user369@example.com,CANCELLED,2023-03-20T14:00,PROD-342:1|PROD-244:1|PROD-31:3
user273@example.com,PAID,2024-06-15T16:00,PROD-782:3|PROD-307:1
user232@example.com,CANCELLED,2024-03-03T20:00,PROD-951:2|PROD-281:2|PROD-132:3|PROD-341:3
user101@example.com,PAID,2023-08-27T21:00,PROD-213:1
user476@example.com,PAID,2023-09-27T18:00,PROD-367:2|PROD-85:2
user211@example.com,PAID,2024-07-22T17:00,PROD-982:3|PROD-815:1|PROD-298:3
user74@example.com,PAID,2024-11-03T14:00,PROD-27:3|PROD-361:3|PROD-683:3|PROD-567:1
user442@example.com,PAID,2024-09-21T12:00,PROD-315:1|PROD-432:1
user132@example.com,CANCELLED,2023-03-05T10:00,PROD-840:3|PROD-875:2
user97@example.com,PAID,2024-01-17T15:00,PROD-388:1|PROD-628:3
user333@example.com,NEW,2023-11-15T11:00,PROD-617:2|PROD-600:2|PROD-632:3
user74@example.com,PAID,2023-06-21T10:00,PROD-202:1|PROD-492:1|PROD-282:1
user15@example.com,CANCELLED,2024-09-12T15:00,PROD-965:1
user362@example.com,PAID,2023-10-20T10:00,PROD-649:2|PROD-562:2|PROD-281:1
user161@example.com,CANCELLED,2023-11-28T17:00,PROD-782:1
user216@example.com,CANCELLED,2024-07-11T10:00,PROD-802:2|PROD-744:3
user389@example.com,CANCELLED,2024-05-07T19:00,PROD-607:3|PROD-233:3|PROD-922:2
user25@example.com,NEW,2023-10-01T18:00,PROD-588:3|PROD-211:1
user414@example.com,PAID,2024-02-12T12:00,PROD-321:2|PROD-346:3|PROD-158:1
user357@example.com,CANCELLED,2024-01-20T10:00,PROD-313:1
user95@example.com,PAID,2023-03-20T19:00,PROD-396:3|PROD-396:2|PROD-349:3
user242@example.com,PAID,2023-09-19T14:00,PROD-202:1
user86@example.com,PAID,2023-10-01T19:00,PROD-430:1
user336@example.com,PAID,2024-10-22T20:00,PROD-675:2|PROD-795:2|PROD-861:2
user140@example.com,NEW,2024-02-02T19:00,PROD-52:1|PROD-484:2|PROD-633:3
user27@example.com,NEW,2024-07-15T15:00,PROD-561:2|PROD-366:2|PROD-567:3
user113@example.com,CANCELLED,2023-09-30T20:00,PROD-296:2|PROD-923:3|PROD-229:3
user316@example.com,NEW,2023-03-24T14:00,PROD-305:3
user334@example.com,PAID,2024-10-24T20:00,PROD-982:2
user305@example.com,PAID,2023-07-12T13:00,PROD-499:1|PROD-390:1|PROD-560:2|PROD-652:3
user464@example.com,PAID,2024-07-08T21:00,PROD-943:3
user220@example.com,PAID,2024-08-26T12:00,PROD-797:3
user378@example.com,CANCELLED,2024-08-22T18:00,PROD-675:2|PROD-109:1
user353@example.com,NEW,2023-05-23T16:00,PROD-474:2
user120@example.com,PAID,2023-04-06T11:00,PROD-164:3|PROD-912:3
user264@example.com,PAID,2023-07-01T16:00,PROD-983:2|PROD-670:2|PROD-673:2
user318@example.com,PAID,2023-03-26T12:00,PROD-491:2
user309@example.com,PAID,2024-07-18T14:00,PROD-519:1|PROD-923:1|PROD-965:1
user431@example.com,PAID,2023-07-30T14:00,PROD-743:2
user30@example.com,PAID,2024-12-21T10:00,PROD-270:3|PROD-77:2|PROD-871:2
user411@example.com,NEW,2023-07-27T14:00,PROD-593:3|PROD-127:3
user100@example.com,PAID,2024-09-04T16:00,PROD-376:1|PROD-417:3
user181@example.com,PAID,2023-06-02T16:00,PROD-856:2
user183@example.com,PAID,2024-03-30T12:00,PROD-112:1|PROD-738:1|PROD-150:1|PROD-48:1
user103@example.com,PAID,2024-06-19T16:00,PROD-932:1
user332@example.com,NEW,2024-06-03T12:00,PROD-4:2|PROD-511:2|PROD-759:1
user270@example.com,PAID,2024-06-14T15:00,PROD-519:1|PROD-567:3
user451@example.com,PAID,2024-10-10T13:00,PROD-933:2|PROD-611:3|PROD-454:2|PROD-461:3
user500@example.com,NEW,2023-05-11T16:00,PROD-898:2
user192@example.com,NEW,2023-02-27T13:00,PROD-632:1
user147@example.com,PAID,2024-05-29T11:00,PROD-891:2
user29@example.com,PAID,2023-10-29T21:00,PROD-639:1|PROD-795:2|PROD-194:1
user339@example.com,NEW,2024-07-15T11:00,PROD-369:2|PROD-43:3
user75@example.com,CANCELLED,2023-05-28T20:00,PROD-677:1|PROD-701:2
user229@example.com,CANCELLED,2024-12-15T21:00,PROD-880:1
user262@example.com,PAID,2024-08-27T10:00,PROD-195:1|PROD-344:2|PROD-63:3
user165@example.com,NEW,2023-03-15T10:00,PROD-822:2|PROD-853:2|PROD-599:3
user147@example.com,PAID,2024-02-18T14:00,PROD-673:3|PROD-927:2|PROD-397:2
user25@example.com,PAID,2023-03-03T13:00,PROD-698:3|PROD-360:3|PROD-311:3|PROD-385:3
user88@example.com,CANCELLED,2023-01-15T16:00,PROD-34:3|PROD-42:2|PROD-44:3
user48@example.com,NEW,2023-08-25T15:00,PROD-572:1
user442@example.com,PAID,2023-05-28T10:00,PROD-459:3|PROD-612:2
user86@example.com,CANCELLED,2024-11-28T20:00,PROD-934:1
user443@example.com,PAID,2023-03-31T21:00,PROD-97:2|PROD-506:2
user246@example.com,CANCELLED,2023-02-03T12:00,PROD-429:1|PROD-205:3|PROD-619:2
user387@example.com,PAID,2023-03-24T21:00,PROD-259:3|PROD-349:3|PROD-477:1
user105@example.com,PAID,2024-05-10T19:00,PROD-240:3|PROD-688:1|PROD-416:3|PROD-979:3
user374@example.com,NEW,2023-11-21T20:00,PROD-858:2
user155@example.com,PAID,2023-06-04T15:00,PROD-49:2|PROD-223:2|PROD-574:1|PROD-149:2
user374@example.com,PAID,2024-03-31T18:00,PROD-578:3|PROD-333:2|PROD-764:3
user117@example.com,PAID,2024-03-27T19:00,PROD-979:1
user268@example.com,NEW,2023-05-25T17:00,PROD-4:1|PROD-894:2|PROD-769:3
user239@example.com,NEW,2023-02-20T14:00,PROD-435:3|PROD-299:2|PROD-871:3|PROD-838:3
user141@example.com,NEW,2024-10-22T17:00,PROD-419:1
user426@example.com,NEW,2024-10-11T20:00,PROD-329:3|PROD-332:3|PROD-748:3|PROD-930:3
user140@example.com,PAID,2023-12-25T14:00,PROD-848:3
user215@example.com,PAID,2023-04-29T13:00,PROD-763:3|PROD-992:1
user136@example.com,CANCELLED,2024-11-07T14:00,PROD-36:2|PROD-216:2
user249@example.com,NEW,2024-03-06T21:00,PROD-743:1
user360@example.com,PAID,2023-11-12T16:00,PROD-207:3
